,compound,create_date,negative,neutral,news_media,positive,tweets_ago
0,0.0,2017-12-02 04:37:03+00:00,0.0,1.0,NYT,0.0,0
1,-0.4019,2017-12-02 04:23:03+00:00,0.277,0.567,NYT,0.156,-1
2,0.0,2017-12-02 03:16:03+00:00,0.0,1.0,NYT,0.0,-2
3,0.0,2017-12-02 03:15:03+00:00,0.0,1.0,NYT,0.0,-3
4,-0.4215,2017-12-02 03:14:03+00:00,0.412,0.588,NYT,0.0,-4
5,0.0,2017-12-02 03:13:03+00:00,0.0,1.0,NYT,0.0,-5
6,0.0,2017-12-02 03:12:03+00:00,0.0,1.0,NYT,0.0,-6
7,-0.2023,2017-12-02 03:11:03+00:00,0.199,0.662,NYT,0.14,-7
8,-0.4215,2017-12-02 03:10:03+00:00,0.237,0.763,NYT,0.0,-8
9,0.3818,2017-12-02 03:09:03+00:00,0.0,0.776,NYT,0.224,-9
10,0.0,2017-12-02 02:42:03+00:00,0.0,1.0,NYT,0.0,-10
11,0.0,2017-12-02 02:41:05+00:00,0.0,1.0,NYT,0.0,-11
12,-0.4939,2017-12-02 02:40:03+00:00,0.262,0.738,NYT,0.0,-12
13,0.4939,2017-12-02 02:39:03+00:00,0.0,0.775,NYT,0.225,-13
14,0.0,2017-12-02 02:34:02+00:00,0.0,1.0,NYT,0.0,-14
15,-0.3612,2017-12-02 02:33:02+00:00,0.241,0.759,NYT,0.0,-15
16,0.0,2017-12-02 02:32:03+00:00,0.0,1.0,NYT,0.0,-16
17,-0.6808,2017-12-02 02:31:03+00:00,0.359,0.641,NYT,0.0,-17
18,0.5106,2017-12-02 02:30:04+00:00,0.0,0.699,NYT,0.301,-18
19,0.0772,2017-12-02 02:29:02+00:00,0.0,0.909,NYT,0.091,-19
20,0.6597,2017-12-02 02:28:03+00:00,0.0,0.565,NYT,0.435,-20
21,0.4019,2017-12-02 02:27:03+00:00,0.0,0.803,NYT,0.197,-21
22,0.0,2017-12-02 02:26:03+00:00,0.0,1.0,NYT,0.0,-22
23,0.0,2017-12-02 02:25:02+00:00,0.0,1.0,NYT,0.0,-23
24,0.34,2017-12-02 02:23:03+00:00,0.0,0.789,NYT,0.211,-24
25,0.0,2017-12-02 02:22:02+00:00,0.0,1.0,NYT,0.0,-25
26,0.2263,2017-12-02 02:10:03+00:00,0.16,0.629,NYT,0.211,-26
27,0.0,2017-12-02 02:09:03+00:00,0.0,1.0,NYT,0.0,-27
28,0.0,2017-12-02 01:55:02+00:00,0.0,1.0,NYT,0.0,-28
29,-0.25,2017-12-02 01:54:03+00:00,0.188,0.694,NYT,0.118,-29
30,0.4404,2017-12-02 01:41:02+00:00,0.0,0.734,NYT,0.266,-30
31,0.4767,2017-12-02 01:40:02+00:00,0.0,0.763,NYT,0.237,-31
32,-0.34,2017-12-02 01:39:02+00:00,0.246,0.615,NYT,0.138,-32
33,0.4404,2017-12-02 01:25:02+00:00,0.0,0.734,NYT,0.266,-33
34,0.0,2017-12-02 01:24:02+00:00,0.0,1.0,NYT,0.0,-34
35,0.6597,2017-12-02 01:21:02+00:00,0.0,0.565,NYT,0.435,-35
36,0.0,2017-12-02 01:10:02+00:00,0.0,1.0,NYT,0.0,-36
37,0.0,2017-12-02 01:09:02+00:00,0.0,1.0,NYT,0.0,-37
38,0.4404,2017-12-02 01:08:02+00:00,0.0,0.805,NYT,0.195,-38
39,-0.6597,2017-12-02 00:56:02+00:00,0.328,0.672,NYT,0.0,-39
40,0.0,2017-12-02 00:55:02+00:00,0.0,1.0,NYT,0.0,-40
41,-0.5719,2017-12-02 00:54:02+00:00,0.266,0.734,NYT,0.0,-41
42,0.34,2017-12-02 00:53:02+00:00,0.0,0.833,NYT,0.167,-42
43,-0.6808,2017-12-02 00:50:02+00:00,0.359,0.641,NYT,0.0,-43
44,-0.3818,2017-12-02 00:40:02+00:00,0.191,0.809,NYT,0.0,-44
45,-0.6597,2017-12-02 00:39:02+00:00,0.328,0.672,NYT,0.0,-45
46,0.0,2017-12-02 00:38:02+00:00,0.0,1.0,NYT,0.0,-46
47,0.0,2017-12-02 00:22:02+00:00,0.0,1.0,NYT,0.0,-47
48,0.1779,2017-12-02 00:21:02+00:00,0.236,0.545,NYT,0.218,-48
49,0.0,2017-12-02 00:09:02+00:00,0.0,1.0,NYT,0.0,-49
50,0.0,2017-12-02 00:08:02+00:00,0.0,1.0,NYT,0.0,-50
51,0.1779,2017-12-02 00:07:02+00:00,0.0,0.855,NYT,0.145,-51
52,-0.9042,2017-12-01 23:42:02+00:00,0.615,0.385,NYT,0.0,-52
53,0.0,2017-12-01 23:41:02+00:00,0.0,1.0,NYT,0.0,-53
54,-0.0516,2017-12-01 23:40:02+00:00,0.19,0.633,NYT,0.177,-54
55,0.0,2017-12-01 23:39:02+00:00,0.0,1.0,NYT,0.0,-55
56,0.4767,2017-12-01 23:38:02+00:00,0.0,0.763,NYT,0.237,-56
57,-0.4215,2017-12-01 23:25:02+00:00,0.286,0.714,NYT,0.0,-57
58,-0.4215,2017-12-01 23:24:02+00:00,0.237,0.763,NYT,0.0,-58
59,0.34,2017-12-01 23:23:01+00:00,0.0,0.789,NYT,0.211,-59
60,0.6124,2017-12-01 23:13:01+00:00,0.0,0.692,NYT,0.308,-60
61,0.0,2017-12-01 23:09:02+00:00,0.0,1.0,NYT,0.0,-61
62,0.0,2017-12-01 23:08:01+00:00,0.0,1.0,NYT,0.0,-62
63,-0.3612,2017-12-01 23:07:02+00:00,0.2,0.8,NYT,0.0,-63
64,0.0,2017-12-01 23:06:01+00:00,0.0,1.0,NYT,0.0,-64
65,0.7269,2017-12-01 22:55:02+00:00,0.0,0.643,NYT,0.357,-65
66,0.296,2017-12-01 22:54:01+00:00,0.0,0.732,NYT,0.268,-66
67,0.0,2017-12-01 22:53:02+00:00,0.0,1.0,NYT,0.0,-67
68,0.4019,2017-12-01 22:52:01+00:00,0.0,0.748,NYT,0.252,-68
